sampleID,[RNA] 20170922,[RNA] 20171011,gel image,Checked notebook?,stock,treat,treat2,treat3,treat4,stage,RNASEQ,volume = 1.5ug,samplename,messup_ID,messup_stock,messup_treat,amount sent,remaining,Sample name,Library,Lane,Raw reads,Clean Reads,Raw data(G),Clean data(G),Effective(%),Error(%),Q20(%),Q30(%),GC(%),RNA_prep_Date,nanodrop2016,,"box position (guts, gonads, microb)",simpleUniqueID,Col,row,NB page,fry notes 20171011,gut-micorbiome sample,intestine-RNAlater,gonad,Brain state,Cynthia tube location Brain,time_brain,est_mass,GSI,resid,stock_treat,ate_fry,pull_date,stage_found,kill_date,kill-pull,treat,kill_month,kill_year,pred_kill,pred_treat,source_tank,gen,treat_tank,length_mm,mass_g,pred_mass,resid_mass,pred_mass2,m<-lm,gonad_g,time_day,time_gonad,egg_count,fry_count,brood_size,caring,stage_end,blood,brain,gonads,guts_1,guts_2,guts_3,eye_bars,body_bars,attacking_stim,hovering,hiding,bus-stopping,estr_conc1,estr_conc2,estr_mean,dilution,orig_ID
R14_LS_34,270,103,good ,yes,LS,R14,0_R14,2_R14,1_R14,R,X,14.6,SR34,LSR14-2,LS,0_R14,20,more than 10,SR34,USR16087198L-A29,HF5W5BBXX_L3,23873289,22840484,7161986700,6852145200,95.67,0.01,96.03,90.84,48,20160802,307,6.5,F5,LSR14-2,F,5,102,5,20170803-sent,20170804-sort/label,20170804-sort/label,gone,,6.04,2160.742981,5.234899329,0.409404,LSR14,no,20160624,6,20160714,20,R14,201607,2016,20160714,R14,1-1-240,lab,UZ-48_2,44.8,2.98,2.5176916,0.4623084,2.57392,0.40608,0.156,4:10pm,8,,5,5,yes,,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,7650.440909,5227.587255,6439.014082,49,0714_1
R02_LS_35,222,99,good ,yes,LS,R02,3_R02,1_R02,0_R02,R,X,15.2,SR35,LSR2-3,LS,3_R02,20,more than 10,SR35,USR16087199L-A30,HF5W5BBXX_L3,23122690,22152440,6936807000,6645732000,95.8,0.01,96.02,90.82,47.11,20160802,246,8.1,H3,LSR2-3,H,3,111,15,20170803-sent,20170804-sort/label,20170804-sort/label,gone,,7.01,1540.851587,1.210526316,0.199234,LSR2,no,20160625,0,20160708,13,R02,201607,2016,20160720,R2,1-2-240,lab,UZ-46_2,38.3,1.9,1.7319261,0.1680739,1.84657,0.05343,0.023,5:11pm,9,,15,15,yes,,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,1467.39261,4387.843421,2927.618015,52,0720_2
R14_LS_36,177,68,good ,yes,LS,R14,0_R14,2_R14,1_R14,R,X,22.1,SR36,LSR14-4,LS,0_R14,22,more than 10,SR36,USR16087200L-A95,HF5W5BBXX_L3,23033218,22488133,6909965400,6746439900,97.63,0.01,96.48,91.6,48.99,20160802,176,11.4,F7,LSR14-4,F,7,116,ate fry,20170803-sent,20170804-sort/label,20170804-sort/label,gone,,6.1,3774.402093,3.215434084,0.285146,LSR14,yes,20160629,0,20160727,28,R14,201607,2016,20160727,R14,1-2-335,lab,Z-4-1_2,46.7,3.11,2.7473769,0.3626231,2.78653,0.32347,0.1,5:00pm,6.54,,,,no,,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,11092.88188,4360.97785,7726.929865,49,0727_1
R02_LS_37,244,258,good ,yes,LS,R02,3_R02,1_R02,0_R02,R,X,5.8,SR37,LSB2-10,LS,1_B02,20,more than 10,SR37,USR16087201L-A32,HF5W5BBXX_L3,25391089,24422190,7617326700,7326657000,96.18,0.01,95.96,90.68,48,20170921,,#DIV/0!,H4,LSR2-4,H,4,125,12,20170803-sent,20170804-sort/label,20170804-sort/label,brain,whole brain,7.2,,1.278772379,0.135024,LSR2,no,20160803,7,20160816,13,R02,201608,2016,,R2,1-1-335,lab,UZ-43,53.8,3.91,3.6056746,0.3043254,null,null,0.05,3:30pm,9.4,,12,12,yes,,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,NA,NA,NA,NA,0816_1
R14_LS_39,314,210,good ,yes,LS,R14,0_R14,2_R14,1_R14,R,X,7.1,SR39,LSB2-9,LS,1_B02,20,more than 10,SR39,USR16087203L-A34,HF5W5BBXX_L3,28804094,28433623,8641228200,8530086900,98.71,0.01,96.07,90.81,48.5,20170921,,#DIV/0!,F8,LSR14-5,F,8,132,15,20170803-sent,missing,missing,brain,whole brain,8.08,6727.364767,6.25,0.5459,LSR14,no,20160714,,20160824,40,R14,201608,2016,20160824,R14,1-1-240,lab,UZ-40,52,4.08,3.388078,0.691922,3.3796,0.7004,0.255,3:30pm,8:48,,15,15,yes,,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,37316.65864,17578.63785,27447.64825,49,0824_1
R02_LS_40,500,85,good ,,LS,R02,3_R02,1_R02,0_R02,R,X,17.6,SR40,LSR14-8,LS,0_R14,20,more than 10,SR40,USR16087204L-A35,HF5W5BBXX_L3,25438673,24847085,7631601900,7454125500,97.67,0.01,96.28,91.16,49,20170921,,,,LSR2-7,,,49,3,NA,20170831-added,20170831-added,brain,,11,,0.632352941,,LSR2,no,20170817,1,20170831,14,R02,201708,2017,,R2,1-3-140,lab,Z-3-4,34,0.68,null,null,null,null,0.0043,5:13pm,16,,3,3,yes,,no,yes,yes,no,no,yes,yes,no,no,no,yes,yes,NA,NA,NA,NA,S0831_1
B14_LS_41,517,226,good ,,LS,B14,2_B14,0_B14,3_B14,B,x,6.6,SR41,LSR2-9,LS,3_R02,20,more than 10,SR41,USR16087205L-A36,HF5W5BBXX_L3,25463696,24600170,7639108800,7380051000,96.61,0.01,96.45,91.53,49.27,20170921,,,,LSB14-8,,,53,11,NA,20170831-added,20170831-added,brain,,5,,,,LAB14,no,20170818,1,20170831,13,B14,201708,2017,,B14,1-2-335,lab,no-tag2,27,0.45,null,null,null,null,0.0037,5:37pm,9,11,,11,yes,,no,yes,yes,no,no,yes,no,no,no,no,yes,no,NA,NA,NA,NA,S0831_2
B02_LS_42,500,105,good ,,LS,B02,1_B02,3_B02,2_B02,B,X,14.3,SR42,LSR2-8,LS,3_R02,20,more than 10,SR42,USR16087206L-A37,HF5W5BBXX_L3,29153123,28026521,8745936900,8407956300,96.14,0.01,96.31,91.3,47.95,20170921,,#DIV/0!,,LSB2-7,,,545,11,NA,,,brain,,11,,,,LSB2,no,20170903,0,20170905,2,B02,201709,2017,,B2,1/3/50,lab,notab3,30,0.73,null,null,null,null,0.0042,6:04pm,14,11,,11,yes,2,no,yes,yes,no,no,yes,no,no,no,no,yes,no,NA,NA,NA,NA,S0905_2
R02_LS_43,500,110,good ,,LS,R02,3_R02,1_R02,0_R02,R,X,13.6,SR43,LSB14-8,LS,2_B14,20,more than 10,SR43,USR16087207L-A38,HF5W5BBXX_L3,33138969,32117235,9941690700,9635170500,96.92,0.02,95.34,89.38,47.91,20170921,,,,LSR2-9,,,51,10,,,,brain,,12,,,,LSR2,no,20170825,8,20170905,10,R02,201709,2017,,R2,1-3-240,lab,Z-4-1,30,0.77,null,null,null,null,0.0057,6:29pm,17,,10,10,yes,,no,yes,yes,no,no,yes,yes,no,no,no,no,no,NA,NA,NA,NA,S0905_3
R14_LS_44,,124,good ,,LS,R14,0_R14,2_R14,1_R14,R,X,12.1,SR44,LSR2-7,LS,3_R02,20,more than 10,SR44,USR16087208L-A39,HF5W5BBXX_L3,24772917,24199385,7431875100,7259815500,97.68,0.01,96.28,91.19,48.16,20170921,,,,LSR14-8,,,67,ate on day 2,NA,,,brain,,13,,,,LSR14,yes,20170808,,20170905,27,R14,201709,2017,,R14,1/1/50,lab,z-5-6,34,1.04,null,null,null,null,0.0055,6:57pm,18,,0,0,no,,no,yes,yes,no,no,yes,null,null,null,null,null,null,NA,NA,NA,NA,S0905_4
B02_LS_45,446,116,good ,,LS,B02,1_B02,3_B02,2_B02,B,X,12.9,SR45,LSB2-11,LS,1_B02,20,more than 10,SR45,USR16087209L-A40,HF5W5BBXX_L3,24455966,23647369,7336789800,7094210700,96.69,0.01,96.42,91.53,48.11,20170921,,#DIV/0!,,LSB2-8,,,89,3,NA,,,brain,,7,,,,LSB2,no,20170906,0,20170907,1,B02,201709,2017,,B2,1-2-335,lab,Z-4-4,29,0.73,null,null,null,null,0.0074,5:32pm,11,3,,3,yes,2,no,yes,yes,no,no,yes,no,no,no,no,yes,no,NA,NA,NA,NA,S0907_1
R14_LS_46,500,124,good ,,LS,R14,0_R14,2_R14,1_R14,R,X,12.1,SR46,LSR14-6,LS,0_R14,20,more than 10,SR46,USR16087210L-A41,HF5W5BBXX_L3,28553376,27569909,8566012800,8270972700,96.56,0.01,95.86,90.34,48.53,20170921,,,,LSR14-9,,,87,7 for several days ,NA,,,brain,,9,,,,LSR14,yes,20170814,0,20170907,23,R14,201709,2017,,R14,1-1-240,lab,Z-5-1,34,1.03,null,null,null,null,0.0093,5:49pm,11,,7,7,no,,no,yes,yes,no,no,yes,no,no,no,no,no,no,NA,NA,NA,NA,S0907_2
